"phenotype","PhecodeString","group","training.n","training.event","training.preid","internal.n","internal.event","internal.preid","external.n","external.event","external.preid","MIMIC_png.n","MIMIC_png.event","MIMIC_png.preid"
"041.12","Methicillin resistant Staphylococcus aureus","Infectious diseases",166402,188,"1405 (489-2486)",71386,64,"1413 (491-2493)",66075,102,"1690 (753-2813)",29009,380,"932 (355-1534)"
"041.2","Streptococcus infection","Infectious diseases",165903,811,"1403 (486-2484)",71201,346,"1410 (489-2490)",65786,411,"1688 (752-2813)",28614,844,"930 (356-1530)"
"041.4","E. coli","Infectious diseases",165292,1575,"1401 (484-2482)",70921,642,"1406 (487-2487)",65551,735,"1686 (749-2813)",28273,1067,"928 (354-1525)"
"041.8","H. pylori","Infectious diseases",163456,2023,"1384 (473-2460)",70156,851,"1387 (474-2464)",64597,1017,"1656 (726-2780)",29442,79,"934.5 (356-1537)"
"041.9","Infection with drug-resistant microorganisms","Infectious diseases",166277,527,"1405 (488-2486)",71345,240,"1411 (490-2492)",66008,287,"1690 (753-2814)",29294,516,"933 (356-1534)"
"053","Herpes zoster","Infectious diseases",164649,1906,"1392 (478-2469)",70642,811,"1394.5 (479-2472)",64765,1213,"1660 (728-2784)",29427,252,"933 (355-1534)"
"053.1","Herpes zoster with nervous system complications","Infectious diseases",164686,1631,"1392 (478-2470)",70618,724,"1395 (480-2471)",64695,1020,"1660 (729-2784)",29530,64,"936 (357-1539)"
"054","Herpes simplex","Infectious diseases",165002,1854,"1392 (478-2469)",70766,735,"1398 (481-2474)",64812,1284,"1656 (725-2780)",29289,236,"934 (356-1535)"
"070","Viral hepatitis","Infectious diseases",165975,436,"1403 (487-2484)",71203,187,"1411 (490-2490)",65910,202,"1686 (751-2810)",29582,38,"937 (357-1539)"
"070.1","Viral hepatitis A","Infectious diseases",166437,36,"1405 (489-2486)",71394,11,"1413 (492-2493)",66084,12,"1691 (755-2814)",29598,17,"937 (357-1539)"
"070.2","Viral hepatitis B","Infectious diseases",163419,1963,"1394 (480-2474)",70137,783,"1401 (482-2478)",64357,867,"1661 (732-2788)",29333,166,"934 (355-1535)"
"070.3","Viral hepatitis C","Infectious diseases",165433,668,"1403 (487-2484)",70954,293,"1410 (490-2489)",65607,295,"1687 (751-2810)",28396,254,"933 (356-1534)"
"070.4","Chronic hepatitis","Infectious diseases",156936,3175,"1358 (454-2427)",67300,1297,"1365 (457-2424.25)",58736,1762,"1590 (667-2700)",29529,28,"937 (357-1539)"
"070.9","Hepatitis NOS","Infectious diseases",160943,4329,"1372 (466-2448)",69040,1854,"1373 (465-2446)",63063,2587,"1623 (694-2743)",29467,137,"935 (356-1537)"
"071.1","HIV infection, symptomatic","Infectious diseases",166142,87,"1404 (488-2485)",71274,34,"1411 (491-2493)",65882,43,"1689 (753-2814)",29271,204,"933 (355-1533)"
"078","Viral warts & HPV","Infectious diseases",163796,2001,"1384 (472-2460)",70268,771,"1390 (473-2464)",63707,1498,"1634 (706-2760)",29566,33,"936 (357-1538)"
"079","Viral infection","Infectious diseases",164912,2110,"1403 (482-2483)",70802,863,"1408 (485-2490)",65553,987,"1680 (740-2802)",28615,420,"917 (346-1517)"
"079.1","Varicella infection","Infectious diseases",166316,75,"1405 (489-2485)",71359,35,"1411 (491-2491)",66045,33,"1690 (754-2813)",29601,16,"936 (357-1539)"
"079.2","Infectious mononucleosis","Infectious diseases",166351,75,"1405 (488.5-2485)",71376,37,"1413 (491.75-2492)",66068,34,"1690 (755-2814)",29586,25,"936 (357-1539)"
"079.9","Viremia, NOS","Infectious diseases",166283,245,"1404 (488-2485)",71323,124,"1411 (491-2491)",65955,281,"1686 (750-2808)",29491,465,"931 (354-1534)"
"080","Postoperative infection","Infectious diseases",165840,437,"1403 (486-2483)",71169,216,"1410 (489-2489)",65764,207,"1688 (750.75-2811)",28524,534,"933.5 (354-1533)"
"081","Infection/inflammation of internal prosthetic device; implant; and graft","Infectious diseases",166235,151,"1405 (489-2485)",71334,62,"1412 (491-2492)",66012,64,"1690 (755-2814)",28835,316,"934 (355-1533.5)"
"090","Sexually transmitted infections (not HIV or hepatitis)","Infectious diseases",166137,364,"1403 (487-2484)",71271,153,"1410 (490-2489)",65893,182,"1688 (751-2813)",29566,38,"936 (356-1538)"
"090.2","Gonococcal infections","Infectious diseases",166411,80,"1405 (488-2485.5)",71399,32,"1412 (491.5-2492.5)",66081,37,"1690 (754-2813)",29608,12,"936 (357-1538)"
"110.1","Dermatophytosis","Infectious diseases",164630,2236,"1384 (474-2461)",70538,920,"1389 (476-2464)",63832,2114,"1624 (700-2747)",29590,19,"937 (357-1539)"
"110.11","Dermatophytosis of nail","Infectious diseases",163444,2782,"1378 (469-2453)",70061,1095,"1383 (471-2458)",62611,2517,"1610 (684-2729)",29529,77,"935 (356-1537)"
"110.12","Althete's foot","Infectious diseases",161199,3555,"1364 (461-2434)",69112,1403,"1372 (463-2441)",60673,2819,"1582 (656-2702)",29519,79,"935 (356-1537)"
"110.13","Dermatophytosis of the body","Infectious diseases",164836,1373,"1395 (479-2472)",70707,593,"1400 (483-2477)",64261,1248,"1661 (729-2782)",29507,95,"936 (357-1537)"
"110.2","Dermatomycoses","Infectious diseases",165996,258,"1402 (486-2482)",71219,114,"1408 (489-2487)",65723,184,"1683 (749-2806)",29579,69,"936 (357-1538)"
"112","Candidiasis","Infectious diseases",164384,1564,"1392 (479-2473)",70539,694,"1400 (478-2479)",64956,814,"1669 (732-2795.25)",28569,768,"932 (356-1530)"
"117","Mycoses","Infectious diseases",166309,286,"1405 (489-2485)",71348,116,"1412.5 (492-2493)",66039,118,"1690 (754-2813.5)",29510,75,"936 (357-1538.75)"
"117.4","Aspergillosis","Infectious diseases",166408,176,"1405 (489-2486)",71390,63,"1413 (492-2493)",66085,87,"1690 (755-2813)",29576,43,"936.5 (357-1539)"
"132","Infestation (lice, mites)","Infectious diseases",165818,538,"1403 (487-2483)",71134,244,"1408 (489-2489)",65566,287,"1685 (749-2808)",29587,28,"936 (357-1539)"
"132.1","Pediculosis and phthirus infestation","Infectious diseases",164888,415,"1399 (484-2478)",70778,196,"1405 (487-2483)",65115,213,"1683 (748-2806)",29609,9,"937 (357-1539)"
"136","Other infectious and parasitic diseases","Infectious diseases",166296,127,"1405 (489-2485)",71353,53,"1412 (491-2491)",66040,58,"1690 (754-2813)",29212,576,"928 (353-1530)"
"145","Cancer of mouth","Neoplasms",165949,229,"1406 (490-2486)",71219,107,"1413 (492-2492)",65985,102,"1690 (755-2813)",29602,29,"936 (357-1539)"
"145.2","Cancer of tongue","Neoplasms",166093,132,"1405 (489-2486)",71261,62,"1413 (492-2493)",66018,49,"1690 (755.25-2813)",29583,13,"937 (357-1539)"
"149.1","Cancer of oropharynx","Neoplasms",166316,70,"1406 (490-2486)",71354,26,"1413 (492-2493)",66080,21,"1691 (755-2814)",29604,5,"937 (357-1539)"
"149.2","Cancer of nasopharynx","Neoplasms",165964,116,"1405 (489-2486)",71213,43,"1413 (492-2492)",65936,37,"1690 (754-2813)",29614,5,"937 (357-1539)"
"149.4","Cancer of larynx","Neoplasms",166308,51,"1406 (489-2486)",71353,23,"1413 (492-2493)",66063,19,"1691 (756-2814)",29578,12,"937 (357-1539)"
"150","Cancer of esophagus","Neoplasms",166075,144,"1407 (492-2488)",71261,60,"1414 (495-2495)",66033,45,"1692 (756-2815)",29519,43,"938 (358-1541)"
"151","Cancer of stomach","Neoplasms",165603,334,"1407 (492-2487)",71070,117,"1414 (494.25-2494)",65738,157,"1692 (760-2814)",29496,44,"939 (360-1542)"
"153.2","Colon cancer","Neoplasms",164587,801,"1405 (489-2485)",70594,334,"1411 (491-2492)",65084,387,"1688 (753.75-2811)",29133,203,"938 (358-1541)"
"153.3","Malignant neoplasm of rectum, rectosigmoid junction, and anus","Neoplasms",165419,384,"1405 (489-2485)",70985,137,"1413 (493-2494)",65554,184,"1690 (756-2813)",29410,81,"938 (358-1540)"
"155","Cancer of liver and intrahepatic bile duct","Neoplasms",166171,206,"1407 (491-2487)",71304,94,"1414 (494-2495)",66026,90,"1691 (756-2815)",29553,39,"938 (358-1541)"
"155.1","Malignant neoplasm of liver, primary","Neoplasms",165078,524,"1409 (495-2489)",70762,220,"1418 (499-2497)",65520,230,"1693 (760-2815.25)",29370,117,"937 (358-1541)"
"157","Pancreatic cancer","Neoplasms",166110,227,"1407 (492-2487)",71267,97,"1414 (495-2495)",65993,99,"1692 (758-2815)",29405,112,"942 (362-1543)"
"158","Neoplasm of unspecified nature of digestive system","Neoplasms",165811,674,"1403 (486-2484)",71180,266,"1409.5 (489-2491)",65909,297,"1687 (750-2811)",29571,35,"936 (357-1538.5)"
"159","Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum","Neoplasms",166434,56,"1405 (489-2486)",71404,27,"1413 (492-2493)",66093,26,"1691 (755-2814)",29526,61,"937 (357-1540)"
"159.2","Malignant neoplasm of small intestine, including duodenum","Neoplasms",166384,49,"1405 (489-2486)",71392,21,"1413 (492-2493)",66074,32,"1691 (755-2813.75)",29592,26,"937 (357-1539)"
"159.3","Malignant neoplasm of gallbladder and extrahepatic bile ducts","Neoplasms",166225,110,"1406 (491-2487)",71333,51,"1414 (493-2494)",66035,42,"1692 (756.5-2815)",29535,31,"938 (359-1541)"
"159.4","Malignant neoplasm of retroperitoneum and peritoneum","Neoplasms",166410,40,"1405.5 (489-2486)",71390,18,"1413 (492-2493)",66079,17,"1692 (756-2815)",29599,10,"937 (357-1540)"
"165","Cancer within the respiratory system","Neoplasms",166408,68,"1405 (489-2486)",71394,24,"1413 (492-2493)",66094,32,"1691 (755-2814)",29599,44,"936 (357-1539)"
"165.1","Cancer of bronchus; lung","Neoplasms",163858,1242,"1409 (496-2491)",70344,542,"1415 (498-2496)",64948,577,"1689.5 (758-2811)",28989,389,"943 (363-1542)"
"170.1","Bone cancer","Neoplasms",166341,59,"1406 (489-2486)",71386,31,"1413 (492-2493)",66075,22,"1691 (755-2814)",29586,24,"937 (357-1539)"
"170.2","Cancer of connective tissue","Neoplasms",166247,132,"1405 (489-2486)",71351,48,"1413 (492-2493)",66025,51,"1691 (755-2815)",29575,31,"937 (358-1539)"
"172.11","Melanomas of skin","Neoplasms",166384,35,"1405 (489-2486)",71383,15,"1413 (492-2493)",66077,10,"1691 (756-2814)",29556,27,"937 (357.75-1539)"
"172.2","Other non-epithelial cancer of skin","Neoplasms",166308,86,"1405 (489-2485)",71346,32,"1413 (492-2493)",66035,42,"1690 (755-2813)",28886,212,"936 (356-1536.75)"
"172.21","Basal cell carcinoma","Neoplasms",166429,69,"1405 (489-2486)",71408,25,"1413 (492-2493)",66095,38,"1690 (755-2813)",29598,32,"936 (357-1539)"
"172.22","Squamous cell carcinoma","Neoplasms",166425,65,"1405 (489-2486)",71399,23,"1413 (492-2493)",66099,37,"1690 (754-2814)",29582,48,"936.5 (357-1539)"
"174","Breast cancer","Neoplasms",166180,464,"1402.5 (487-2483)",71278,192,"1409 (490-2489)",65954,283,"1685 (750.25-2807.75)",29429,546,"933 (355-1534)"
"174.1","Breast cancer [female]","Neoplasms",165749,271,"1402 (485-2483)",71067,117,"1408 (489-2491)",65769,151,"1685 (749-2809)",29587,39,"935 (356-1538)"
"174.11","Malignant neoplasm of female breast","Neoplasms",162910,840,"1391.5 (477-2473)",69859,362,"1398 (480-2478)",63885,381,"1669 (731-2794)",28645,207,"938 (359-1537)"
"180.1","Cervical cancer","Neoplasms",166084,81,"1405 (489-2486)",71241,32,"1413 (493-2493)",65910,33,"1691 (756-2814)",29541,31,"936 (357-1538)"
"180.3","Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]","Neoplasms",165626,472,"1400 (484-2478)",71059,197,"1405 (485-2484)",65674,200,"1681 (747-2804)",29603,14,"936 (357-1538.5)"
"182","Malignant neoplasm of uterus","Neoplasms",165962,174,"1405 (489-2486)",71182,75,"1412 (490.25-2493)",65848,83,"1690 (754-2813)",29440,82,"937 (357-1539.25)"
"184","Cancer of other female genital organs","Neoplasms",166278,152,"1405 (489-2485)",71344,72,"1412 (491-2492)",66041,68,"1690 (754-2813)",29597,78,"936 (357-1538)"
"184.11","Malignant neoplasm of ovary","Neoplasms",166043,127,"1405 (489-2486)",71227,37,"1413 (492-2493)",65882,55,"1691 (755-2814)",29496,58,"938 (357-1541)"
"184.2","Cancer of other female genital organs, excluding uterus and ovary","Neoplasms",166404,43,"1405 (489-2486)",71399,17,"1413 (492-2493)",66077,16,"1691 (755-2814)",29607,8,"937 (357-1539)"
"185","Cancer of prostate","Neoplasms",165284,626,"1403 (487-2483)",70911,245,"1411 (490.5-2492)",65312,278,"1687 (752-2808.25)",28800,275,"936 (358-1539)"
"189.11","Malignant neoplasm of kidney, except pelvis","Neoplasms",166017,216,"1405 (489-2486)",71224,69,"1412.5 (492-2493)",65844,90,"1690 (754-2815.25)",29425,177,"937 (357-1539)"
"189.12","Malignant neoplasm of renal pelvis","Neoplasms",166288,100,"1405 (490-2486)",71341,44,"1412 (492-2493)",66029,42,"1691 (755-2814)",29596,26,"936 (357-1539)"
"189.2","Cancer of bladder","Neoplasms",166251,173,"1405 (489-2486)",71337,50,"1413 (492-2493)",66039,68,"1690 (755-2813)",29604,8,"936 (357-1539)"
"189.21","Malignant neoplasm of bladder","Neoplasms",165810,304,"1406 (490-2486)",71145,102,"1414 (493-2494)",65805,112,"1690 (756-2814)",29335,129,"937 (359-1538)"
"189.4","Malignant neoplasm of other urinary organs","Neoplasms",166293,83,"1406 (489-2486)",71353,33,"1413 (492-2493)",66032,45,"1691 (756-2815)",29607,12,"937 (357-1539)"
"191","Manlignant and unknown neoplasms of brain and nervous system","Neoplasms",165671,1156,"1398 (484-2476)",71100,477,"1403 (485-2483)",65741,598,"1676 (744-2800)",29584,10,"937 (357-1539.25)"
"191.1","Cancer of brain and nervous system","Neoplasms",166393,59,"1405 (489-2486)",71389,27,"1413 (492-2493)",66059,25,"1691 (756-2814)",29609,8,"937 (357-1539)"
"191.11","Cancer of brain","Neoplasms",166162,123,"1406 (491-2487)",71300,52,"1413 (493-2493)",65992,64,"1690.5 (756-2813.25)",29510,59,"938 (358-1541)"
"193","Thyroid cancer","Neoplasms",165607,268,"1401 (486-2481)",71013,107,"1408 (489-2485)",65385,126,"1678 (744-2801)",29435,60,"935 (356-1537)"
"194","Cancer of other endocrine glands","Neoplasms",166365,118,"1405 (489-2485)",71362,48,"1412 (491-2492)",66057,70,"1690 (754-2813)",29577,129,"936 (357-1538)"
"195","Cancer, suspected or other","Neoplasms",166385,147,"1405 (489-2486)",71387,61,"1413 (491-2493)",66097,88,"1690 (754-2814)",29341,450,"940 (362-1542)"
"195.1","Malignant neoplasm, other","Neoplasms",166283,199,"1406 (490-2486)",71341,92,"1413 (492-2494)",66047,99,"1691 (756-2814)",29377,310,"937 (358-1538)"
"197","Chemotherapy","Neoplasms",164224,353,"1408 (495-2485)",70416,162,"1415 (498-2491)",64934,175,"1692 (762-2811)",28376,757,"945 (364-1545)"
"198","Secondary malignant neoplasm","Neoplasms",164988,1566,"1407 (492-2490)",70832,647,"1414 (494-2495)",65529,615,"1690 (752-2816)",29138,494,"946 (366-1546)"
"198.1","Secondary malignancy of lymph nodes","Neoplasms",164123,1809,"1406 (490-2490)",70418,711,"1413 (491-2497)",65145,659,"1689 (750-2813)",29054,402,"946 (365-1545)"
"198.2","Secondary malignancy of respiratory organs","Neoplasms",165310,1301,"1409 (494-2490)",70960,529,"1415 (496-2496)",65629,494,"1694 (761-2818)",29260,356,"944 (364-1544)"
"198.3","Secondary malignant neoplasm of digestive systems","Neoplasms",166135,531,"1407 (491-2488)",71274,198,"1414 (494-2495)",65981,191,"1693 (758-2816)",29381,270,"942 (361-1543)"
"198.4","Secondary malignant neoplasm of liver","Neoplasms",165629,949,"1410 (495-2491)",71058,393,"1417 (498-2498)",65839,376,"1693 (760-2818)",29314,369,"945 (364.25-1545)"
"198.5","Secondary malignancy of brain/spine","Neoplasms",166089,548,"1407 (492-2488)",71258,234,"1414 (494-2495)",65962,209,"1693 (760-2816)",29404,257,"942 (362-1543)"
"198.6","Secondary malignancy of bone","Neoplasms",165565,994,"1409 (495-2490)",71030,419,"1417 (498-2496.75)",65769,386,"1694 (760-2819)",29309,390,"944 (365-1544)"
"199","Neoplasm of uncertain behavior","Neoplasms",160573,4940,"1371 (466-2454)",68865,2046,"1379 (467-2457)",62653,3038,"1619 (693-2751)",29517,65,"936 (357-1538)"
"200","Myeloproliferative disease","Neoplasms",165965,610,"1402 (486-2483)",71173,228,"1411 (491-2491)",65859,290,"1687 (751-2811)",29191,311,"936 (357-1539)"
"200.1","Polycythemia vera","Neoplasms",166434,44,"1405 (489-2486)",71404,12,"1413 (492-2493)",66098,16,"1690 (755-2814)",29534,25,"937 (357-1539)"
"201","Hodgkin's disease","Neoplasms",166414,26,"1405 (489-2486)",71396,14,"1413 (492-2493)",66064,16,"1690 (755-2813)",29503,26,"937 (358-1540)"
"202","Cancer of other lymphoid, histiocytic tissue","Neoplasms",166452,29,"1405 (489-2486)",71419,10,"1413 (492-2493)",66098,11,"1690.5 (755-2813.75)",29455,92,"936 (356-1539)"
"202.2","Non-Hodgkins lymphoma","Neoplasms",166067,173,"1405 (489-2486)",71265,87,"1413 (492-2492)",65919,93,"1689 (754-2813)",29226,160,"936 (358.25-1538)"
"202.21","Nodular lymphoma","Neoplasms",166327,35,"1405 (489-2486)",71369,25,"1413 (492-2492)",66020,21,"1690 (755-2813)",29559,21,"936 (357-1538)"
"202.22","Reticulosarcoma","Neoplasms",166252,130,"1405 (489-2486)",71323,54,"1413 (492-2493)",66020,67,"1690 (754-2814)",29575,78,"936 (357-1538)"
"204","Leukemia","Neoplasms",166402,56,"1405 (489-2486)",71396,25,"1413 (492-2493)",66076,29,"1691 (756-2814)",29558,58,"936 (357-1539)"
"204.12","Lymphoid leukemia, chronic","Neoplasms",166448,18,"1405 (489-2486)",71407,8,"1413 (492-2493)",66098,18,"1691 (756-2814)",29478,39,"937 (357.25-1540)"
"204.2","Myeloid leukemia","Neoplasms",166446,26,"1405 (489-2486)",71404,11,"1413 (492-2493)",66094,16,"1690 (755.25-2814)",29602,34,"936 (357-1538.75)"
"204.21","Myeloid leukemia, acute","Neoplasms",166371,35,"1406 (490-2486)",71367,17,"1413 (492-2493)",66061,22,"1691 (756-2814)",29500,45,"938 (359-1541)"
"204.4","Multiple myeloma","Neoplasms",166331,67,"1406 (490-2486)",71354,32,"1413 (492-2493)",66038,45,"1692 (756-2815)",29409,48,"938 (358-1540)"
"208","Benign neoplasm of colon","Neoplasms",161984,4700,"1365 (461-2441)",69526,1950,"1370 (463-2442)",63577,2389,"1624 (702-2742)",28574,723,"927 (352-1527)"
"209","Neuroendocrine tumors","Neoplasms",166438,29,"1405 (489-2486)",71414,10,"1413 (492-2493)",66099,24,"1690 (755-2813)",29595,22,"937 (357-1539)"
"210","Benign neoplasm of lip, oral cavity, and pharynx","Neoplasms",163742,1553,"1391 (477-2468)",70282,671,"1398.5 (481-2470)",64756,872,"1660 (729-2784)",29609,11,"937 (357-1539)"
"211","Benign neoplasm of other parts of digestive system","Neoplasms",163278,2394,"1381 (471-2456)",70071,1010,"1385 (474-2460)",64132,1427,"1643 (713-2767)",29398,178,"935 (356-1537)"
"212","Benign neoplasm of respiratory and intrathoracic organs","Neoplasms",164601,1799,"1393 (481-2474)",70610,765,"1400 (483-2481)",65265,768,"1670 (736-2795)",29591,13,"936 (357-1539)"
"213","Benign neoplasm of bone and articular cartilage","Neoplasms",165749,219,"1402 (487-2482)",71129,107,"1409 (490-2488)",65823,121,"1686 (750-2807)",29605,11,"936 (357-1539)"
"214","Lipoma","Neoplasms",166203,237,"1403 (487-2484)",71281,76,"1411 (490-2491)",65987,109,"1688 (752-2810)",29564,55,"935 (356-1537)"
"214.1","Lipoma of skin and subcutaneous tissue","Neoplasms",165988,606,"1401 (486-2481)",71215,230,"1408 (489-2487)",65878,264,"1684 (749-2807)",29598,21,"937 (357-1539)"
"215","Other benign neoplasm of connective and other soft tissue","Neoplasms",162420,3450,"1371 (467-2448)",69638,1387,"1380 (468-2455)",64082,1656,"1637 (709-2764)",29599,20,"936 (357-1538)"
"216","Benign neoplasm of skin","Neoplasms",161948,3905,"1362 (461-2435)",69457,1567,"1368 (464-2437)",62843,2267,"1608 (685-2722)",29593,27,"937 (357-1539)"
"218.1","Uterine leiomyoma","Neoplasms",161023,2446,"1376 (469-2452)",69072,1019,"1382 (469-2457)",63618,983,"1648 (713-2771)",29237,265,"931 (353-1530)"
"220","Benign neoplasm of ovary","Neoplasms",164870,955,"1395 (482-2473)",70726,383,"1403 (484-2482.75)",65340,449,"1676 (741-2801)",29582,31,"936 (357-1538.75)"
"223","Benign neoplasm of kidney and other urinary organs","Neoplasms",165720,402,"1401 (486-2481)",71130,181,"1408 (489-2486)",65624,210,"1684 (748-2807)",29598,6,"937 (357-1539)"
"225.1","Benign neoplasm of brain, cranial nerves, meninges","Neoplasms",165414,414,"1401 (486-2481)",70967,196,"1407 (487-2485)",65465,243,"1682 (748-2806)",29457,116,"936 (357-1539)"
"225.2","Benign neoplasm of spinal cord, meninges","Neoplasms",166364,54,"1405 (489-2485)",71350,27,"1413 (492-2493)",66014,29,"1689 (754-2813)",29608,7,"937 (357-1539)"
"227.1","Benign neoplasm of adrenal gland","Neoplasms",166281,188,"1404 (488-2485)",71349,85,"1411 (491-2491)",66014,101,"1690 (754-2811.75)",29548,63,"935 (357-1538)"
"227.3","Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)","Neoplasms",166309,104,"1405 (488-2485)",71366,42,"1411 (491-2492)",66009,62,"1689 (753-2813)",29559,39,"937 (357-1538)"
"228","Hemangioma and lymphangioma, any site","Neoplasms",165947,355,"1402 (486-2483)",71191,169,"1409 (489-2489.5)",65820,180,"1686 (750-2809.25)",29505,59,"936 (357-1539)"
"240","Simple and unspecified goiter","Endocrine/metabolic",164136,895,"1389 (476-2466)",70405,417,"1394 (478-2465)",64409,516,"1659 (728-2782)",29529,32,"936 (357-1538)"
"241","Nontoxic nodular goiter","Endocrine/metabolic",164737,2311,"1387 (475-2466)",70701,949,"1391 (476-2467)",65159,1061,"1659 (730-2790)",29584,42,"936 (357-1538)"
"241.1","Nontoxic uninodular goiter","Endocrine/metabolic",166131,458,"1403 (487-2483)",71269,191,"1409 (490-2489)",65917,229,"1685 (750-2808)",29264,253,"933 (354-1534.25)"
"241.2","Nontoxic multinodular goiter","Endocrine/metabolic",166099,575,"1401 (485-2480)",71262,221,"1408 (489-2486)",65847,350,"1681 (748-2805)",29444,134,"934 (356-1537)"
"242","Thyrotoxicosis with or without goiter","Endocrine/metabolic",164494,1210,"1392 (477-2470)",70592,530,"1398 (479-2475.25)",64927,592,"1667 (735-2792)",29442,141,"935 (356-1537)"
"242.1","Graves' disease","Endocrine/metabolic",165174,694,"1397.5 (482-2475)",70861,304,"1402 (483-2483)",65097,465,"1675 (741-2799)",29475,74,"935 (356.5-1537)"
"242.2","Toxic multinodular goiter","Endocrine/metabolic",166263,89,"1404 (488-2484)",71330,34,"1411 (491-2492)",66020,53,"1688 (753-2812.25)",29595,20,"937 (357-1539)"
"242.3","Exophthalmos","Endocrine/metabolic",166426,55,"1405 (489-2486)",71395,22,"1413 (491-2493)",66092,24,"1690 (755-2813)",29593,27,"937 (357-1539)"
"244.1","Secondary hypothyroidism","Endocrine/metabolic",166192,139,"1403.5 (487-2483)",71318,54,"1410 (490-2490.75)",65913,127,"1686 (750-2809)",29263,262,"933 (355-1532)"
"244.2","Acquired hypothyroidism","Endocrine/metabolic",166307,301,"1404 (487-2484)",71349,115,"1411 (490-2491)",65985,155,"1688 (752-2813)",29550,117,"936 (357-1537)"
"244.4","Hypothyroidism NOS","Endocrine/metabolic",164949,1373,"1395 (482-2474)",70767,567,"1401 (484-2481)",64856,826,"1670 (735-2799)",26439,1192,"922 (353-1523)"
"245","Thyroiditis","Endocrine/metabolic",166267,149,"1404 (488-2483)",71337,63,"1411 (490-2490)",65962,122,"1686 (750-2810)",29601,9,"937 (357-1539)"
"245.21","Chronic lymphocytic thyroiditis","Endocrine/metabolic",166256,247,"1403 (487-2483)",71327,96,"1410 (490-2489)",65915,172,"1685 (749.5-2809)",29561,54,"936 (356-1538)"
"246","Other disorders of thyroid","Endocrine/metabolic",165607,776,"1399 (483.5-2478)",71114,290,"1406 (487-2485)",65558,405,"1680 (745-2803)",29518,106,"935 (356-1537)"
"246.7","Abnormal results of function study of thyroid","Endocrine/metabolic",166435,56,"1405 (489-2486)",71400,22,"1413 (492-2493)",66092,31,"1690.5 (755-2814)",29568,53,"935 (356-1538)"
"249","Secondary diabetes mellitus","Endocrine/metabolic",163400,3299,"1376 (469-2455)",70176,1368,"1381 (470-2457)",63957,2125,"1625 (702-2756)",29418,130,"935 (356-1538)"
"250","Diabetes mellitus","Endocrine/metabolic",165347,1000,"1397 (483-2476)",70971,420,"1404 (487-2481)",65378,630,"1672 (740-2799)",29577,105,"935 (356-1538)"
"250.1","Type 1 diabetes","Endocrine/metabolic",165377,589,"1399 (483-2476)",70959,234,"1407 (486-2484)",65339,318,"1679 (746-2803)",28663,700,"919 (348-1518)"
