"phenotype","PhecodeString","group","training.case","training.ctrl","internal.case","internal.ctrl","external.case","external.ctrl","MIMIC_png.case","MIMIC_png.ctrl"
"070.4","Chronic hepatitis","Infectious diseases",1485,202006,677,86335,667,71894,59,60139
"070.9","Hepatitis NOS","Infectious diseases",2485,206150,1066,88097,850,76413,153,60002
"071.1","HIV infection, symptomatic","Infectious diseases",148,212328,61,90737,56,79540,212,59755
"078","Viral warts & HPV","Infectious diseases",163,209745,64,89640,103,77245,26,60211
"079","Viral infection","Infectious diseases",1834,210314,737,89950,420,79054,898,58649
"079.1","Varicella infection","Infectious diseases",114,212491,61,90811,40,79691,9,60257
"079.2","Infectious mononucleosis","Infectious diseases",103,212559,36,90847,40,79721,45,60211
"079.9","Viremia, NOS","Infectious diseases",151,212451,77,90776,87,79596,212,60033
"080","Postoperative infection","Infectious diseases",291,211981,135,90609,117,79411,824,58543
"081","Infection/inflammation of internal prosthetic device; implant; and graft","Infectious diseases",91,212439,41,90806,23,79672,511,59012
"090","Sexually transmitted infections (not HIV or hepatitis)","Infectious diseases",102,212314,40,90738,56,79536,35,60196
"090.2","Gonococcal infections","Infectious diseases",21,212641,6,90882,12,79748,6,60270
"110.1","Dermatophytosis","Infectious diseases",166,210693,71,89957,150,77371,17,60237
"110.11","Dermatophytosis of nail","Infectious diseases",267,209384,108,89441,188,76079,34,60168
"110.12","Althete's foot","Infectious diseases",486,206879,218,88382,299,74038,40,60139
"110.13","Dermatophytosis of the body","Infectious diseases",155,210908,66,90121,130,77787,79,60100
"110.2","Dermatomycoses","Infectious diseases",43,212185,16,90685,19,79368,28,60213
"112","Candidiasis","Infectious diseases",712,210266,319,89880,181,78543,919,58492
"117","Mycoses","Infectious diseases",132,212496,56,90809,34,79693,100,60096
"117.4","Aspergillosis","Infectious diseases",59,212624,29,90869,18,79748,36,60212
"132","Infestation (lice, mites)","Infectious diseases",89,211933,51,90554,29,79195,20,60233
"132.1","Pediculosis and phthirus infestation","Infectious diseases",46,210935,16,90183,24,78712,8,60267
"136","Other infectious and parasitic diseases","Infectious diseases",142,212481,62,90809,49,79692,346,59621
"145","Cancer of mouth","Neoplasms",209,212111,78,90674,38,79642,17,60250
"145.2","Cancer of tongue","Neoplasms",176,212281,53,90730,29,79680,28,60224
"149.1","Cancer of oropharynx","Neoplasms",83,212519,36,90827,8,79747,9,60263
"149.2","Cancer of nasopharynx","Neoplasms",145,212121,61,90679,38,79594,5,60274
"149.4","Cancer of larynx","Neoplasms",65,212513,26,90832,13,79726,41,60202
"150","Cancer of esophagus","Neoplasms",179,212197,81,90708,21,79692,81,60089
"151","Cancer of stomach","Neoplasms",439,211644,175,90469,114,79358,92,60069
"153.2","Colon cancer","Neoplasms",812,210447,359,89926,265,78645,429,59346
"153.3","Malignant neoplasm of rectum, rectosigmoid junction, and anus","Neoplasms",429,211469,176,90397,140,79161,120,59947
"155","Cancer of liver and intrahepatic bile duct","Neoplasms",267,212255,102,90732,53,79662,65,60153
"155.1","Malignant neoplasm of liver, primary","Neoplasms",875,210765,370,90046,203,79079,174,59834
"157","Pancreatic cancer","Neoplasms",286,212191,120,90684,69,79627,246,59788
"158","Neoplasm of unspecified nature of digestive system","Neoplasms",491,211902,191,90586,97,79551,35,60196
"159","Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum","Neoplasms",27,212657,15,90887,9,79758,72,60127
"159.2","Malignant neoplasm of small intestine, including duodenum","Neoplasms",55,212603,15,90876,17,79739,24,60237
"159.3","Malignant neoplasm of gallbladder and extrahepatic bile ducts","Neoplasms",162,212381,67,90788,42,79685,79,60114
"159.4","Malignant neoplasm of retroperitoneum and peritoneum","Neoplasms",30,212634,18,90868,14,79744,12,60247
"165","Cancer within the respiratory system","Neoplasms",49,212612,17,90875,15,79758,24,60248
"165.1","Cancer of bronchus; lung","Neoplasms",1623,209409,696,89532,528,78469,778,58847
"170.1","Bone cancer","Neoplasms",62,212555,16,90862,9,79740,24,60224
"170.2","Cancer of connective tissue","Neoplasms",124,212440,47,90818,31,79687,29,60195
"172.11","Melanomas of skin","Neoplasms",43,212609,22,90863,6,79744,35,60165
"172.2","Other non-epithelial cancer of skin","Neoplasms",85,212497,33,90816,23,79694,572,58978
"172.21","Basal cell carcinoma","Neoplasms",25,212662,8,90895,9,79763,26,60241
"172.22","Squamous cell carcinoma","Neoplasms",25,212657,15,90877,9,79769,35,60214
"174","Breast cancer","Neoplasms",189,212350,93,90744,62,79607,278,59919
"174.1","Breast cancer [female]","Neoplasms",262,211963,133,90537,101,79435,12,60225
"174.11","Malignant neoplasm of female breast","Neoplasms",1031,208822,449,89212,375,77445,694,58485
"180.1","Cervical cancer","Neoplasms",157,212243,84,90692,40,79554,43,60153
"180.3","Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]","Neoplasms",103,211784,50,90513,32,79316,7,60260
"182","Malignant neoplasm of uterus","Neoplasms",237,212142,102,90642,75,79503,140,59918
"184","Cancer of other female genital organs","Neoplasms",144,212481,56,90812,42,79700,24,60247
"184.11","Malignant neoplasm of ovary","Neoplasms",221,212213,98,90688,86,79527,103,60057
"184.2","Cancer of other female genital organs, excluding uterus and ovary","Neoplasms",30,212631,15,90883,11,79742,7,60261
"185","Cancer of prostate","Neoplasms",529,211311,224,90306,293,78910,737,58662
"189.11","Malignant neoplasm of kidney, except pelvis","Neoplasms",196,212165,75,90683,71,79484,141,59915
"189.12","Malignant neoplasm of renal pelvis","Neoplasms",89,212476,31,90815,25,79684,13,60249
"189.2","Cancer of bladder","Neoplasms",112,212462,32,90818,26,79702,8,60262
"189.21","Malignant neoplasm of bladder","Neoplasms",262,211923,111,90576,75,79420,252,59716
"189.4","Malignant neoplasm of other urinary organs","Neoplasms",90,212492,34,90826,15,79692,9,60256
"191","Manlignant and unknown neoplasms of brain and nervous system","Neoplasms",290,211811,108,90546,84,79384,41,60212
"191.1","Cancer of brain and nervous system","Neoplasms",37,212620,18,90867,20,79725,7,60267
"191.11","Cancer of brain","Neoplasms",145,212335,71,90757,38,79651,133,60035
"193","Thyroid cancer","Neoplasms",305,211776,185,90470,219,79044,86,59989
"194","Cancer of other endocrine glands","Neoplasms",67,212578,33,90841,17,79723,51,60205
"195","Cancer, suspected or other","Neoplasms",61,212593,27,90863,14,79758,351,59644
"195.1","Malignant neoplasm, other","Neoplasms",146,212447,62,90792,38,79697,327,59712
"197","Chemotherapy","Neoplasms",443,210190,196,89773,172,78487,1014,58040
"198","Secondary malignant neoplasm","Neoplasms",812,210849,351,90156,213,79111,726,59065
"198.1","Secondary malignancy of lymph nodes","Neoplasms",1057,209861,465,89688,339,78710,517,59109
"198.2","Secondary malignancy of respiratory organs","Neoplasms",803,211091,330,90232,210,79212,543,59349
"198.3","Secondary malignant neoplasm of digestive systems","Neoplasms",279,212205,125,90689,67,79616,369,59633
"198.4","Secondary malignant neoplasm of liver","Neoplasms",659,211460,282,90387,160,79429,575,59364
"198.5","Secondary malignancy of brain/spine","Neoplasms",247,212176,130,90660,76,79602,348,59692
"198.6","Secondary malignancy of bone","Neoplasms",599,211460,269,90358,139,79377,488,59415
"199","Neoplasm of uncertain behavior","Neoplasms",3443,205943,1527,87954,1597,76027,92,60094
"200","Myeloproliferative disease","Neoplasms",250,212093,103,90619,61,79503,371,59513
"200.1","Polycythemia vera","Neoplasms",21,212667,8,90887,9,79764,84,60136
"201","Hodgkin's disease","Neoplasms",28,212645,9,90881,15,79731,78,60102
"202","Cancer of other lymphoid, histiocytic tissue","Neoplasms",13,212684,5,90905,8,79767,106,60024
"202.2","Non-Hodgkins lymphoma","Neoplasms",222,212195,89,90715,59,79558,264,59606
"202.21","Nodular lymphoma","Neoplasms",37,212540,16,90848,24,79677,34,60196
"202.22","Reticulosarcoma","Neoplasms",126,212438,41,90794,29,79674,29,60216
"204","Leukemia","Neoplasms",55,212605,14,90867,22,79738,43,60184
"204.12","Lymphoid leukemia, chronic","Neoplasms",10,212681,9,90890,8,79763,106,60040
"204.2","Myeloid leukemia","Neoplasms",21,212672,11,90885,6,79760,8,60263
"204.21","Myeloid leukemia, acute","Neoplasms",76,212569,38,90834,18,79726,72,60092
"204.4","Multiple myeloma","Neoplasms",64,212535,31,90823,19,79697,127,59965
"208","Benign neoplasm of colon","Neoplasms",1601,207510,725,88709,402,77080,655,58626
"209","Neuroendocrine tumors","Neoplasms",32,212668,5,90899,11,79767,21,60236
"210","Benign neoplasm of lip, oral cavity, and pharynx","Neoplasms",841,209570,335,89624,187,78350,5,60268
"211","Benign neoplasm of other parts of digestive system","Neoplasms",765,209173,354,89401,292,77677,146,59925
"212","Benign neoplasm of respiratory and intrathoracic organs","Neoplasms",962,210554,430,89979,293,78880,17,60249
"213","Benign neoplasm of bone and articular cartilage","Neoplasms",272,211893,130,90578,75,79473,8,60263
"214","Lipoma","Neoplasms",153,212384,73,90750,43,79650,29,60202
"214.1","Lipoma of skin and subcutaneous tissue","Neoplasms",284,212091,102,90654,65,79534,18,60251
"215","Other benign neoplasm of connective and other soft tissue","Neoplasms",963,208037,421,88872,262,77590,14,60249
"216","Benign neoplasm of skin","Neoplasms",475,207683,202,88752,169,76352,11,60244
"218.1","Uterine leiomyoma","Neoplasms",1950,206635,867,88273,499,77166,137,59710
"220","Benign neoplasm of ovary","Neoplasms",861,210868,395,90108,237,78961,18,60219
"223","Benign neoplasm of kidney and other urinary organs","Neoplasms",231,211873,89,90590,80,79263,8,60254
"225.1","Benign neoplasm of brain, cranial nerves, meninges","Neoplasms",302,211509,136,90402,99,79096,179,59961
"225.2","Benign neoplasm of spinal cord, meninges","Neoplasms",41,212586,28,90832,26,79677,6,60268
"227.1","Benign neoplasm of adrenal gland","Neoplasms",91,212496,45,90825,46,79679,59,60157
"227.3","Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)","Neoplasms",80,212527,43,90841,29,79675,52,60183
"228","Hemangioma and lymphangioma, any site","Neoplasms",272,212086,134,90630,109,79466,95,60080
"240","Simple and unspecified goiter","Endocrine/metabolic",288,210169,163,89800,163,77984,67,60139
"241","Nontoxic nodular goiter","Endocrine/metabolic",416,210813,211,90114,205,78781,19,60236
"241.1","Nontoxic uninodular goiter","Endocrine/metabolic",140,212336,59,90737,50,79578,302,59683
"241.2","Nontoxic multinodular goiter","Endocrine/metabolic",95,212302,47,90732,44,79507,112,60001
"242","Thyrotoxicosis with or without goiter","Endocrine/metabolic",566,210490,251,89981,243,78509,167,59972
"242.1","Graves' disease","Endocrine/metabolic",256,211267,101,90289,145,78692,109,60061
"242.2","Toxic multinodular goiter","Endocrine/metabolic",31,212485,15,90809,17,79685,12,60250
"242.3","Exophthalmos","Endocrine/metabolic",22,212656,10,90881,5,79761,32,60235
"244.1","Secondary hypothyroidism","Endocrine/metabolic",47,212403,26,90794,25,79568,238,59713
"244.2","Acquired hypothyroidism","Endocrine/metabolic",85,212520,30,90832,39,79651,57,60174
"244.4","Hypothyroidism NOS","Endocrine/metabolic",492,210947,190,90158,211,78405,2875,54223
"245","Thyroiditis","Endocrine/metabolic",45,212476,23,90814,25,79623,12,60257
"245.21","Chronic lymphocytic thyroiditis","Endocrine/metabolic",77,212482,37,90807,54,79581,49,60175
"246","Other disorders of thyroid","Endocrine/metabolic",341,211723,132,90543,141,79200,87,60119
"246.7","Abnormal results of function study of thyroid","Endocrine/metabolic",27,212668,9,90885,14,79759,49,60197
"249","Secondary diabetes mellitus","Endocrine/metabolic",962,209267,368,89516,359,77469,124,59995
"250","Diabetes mellitus","Endocrine/metabolic",456,211437,200,90396,175,78986,46,60225
"250.1","Type 1 diabetes","Endocrine/metabolic",135,211463,92,90385,75,78971,593,58828
"250.11","Type 1 diabetes with ketoacidosis","Endocrine/metabolic",36,212619,17,90869,14,79737,181,59930
"250.12","Type 1 diabetes with renal manifestations","Endocrine/metabolic",31,212451,17,90786,17,79596,99,59950
"250.2","Type 2 diabetes","Endocrine/metabolic",8501,189495,3777,81013,2298,68063,5301,48421
"250.21","Type 2 diabetes with ketoacidosis","Endocrine/metabolic",478,211693,215,90463,159,79389,129,60050
"250.22","Type 2 diabetes with renal manifestations","Endocrine/metabolic",1694,207728,795,88800,561,76826,672,58629
"250.23","Type 2 diabetes with ophthalmic manifestations","Endocrine/metabolic",503,210583,236,89985,133,78738,348,59311
"250.24","Type 2 diabetes with neurological manifestations","Endocrine/metabolic",615,209216,236,89423,204,77499,767,58185
"250.25","Diabetes type 2 with peripheral circulatory disorders","Endocrine/metabolic",344,211539,165,90394,111,78739,150,59896
"250.41","Impaired fasting glucose","Endocrine/metabolic",336,211407,140,90352,148,78843,37,60204
"250.42","Other abnormal glucose","Endocrine/metabolic",442,211644,194,90467,225,79003,541,59260
"250.6","Polyneuropathy in diabetes","Endocrine/metabolic",58,212245,25,90676,27,79359,551,58401
"250.7","Diabetic retinopathy","Endocrine/metabolic",97,211598,44,90442,28,79162,307,59204
"251.1","Hypoglycemia","Endocrine/metabolic",634,211255,227,90330,146,79262,234,59881
"252.1","Hyperparathyroidism","Endocrine/metabolic",114,212356,60,90750,52,79537,187,59768
"252.2","Hypoparathyroidism","Endocrine/metabolic",17,212644,8,90879,12,79713,19,60237
"253","Disorders of the pituitary gland and its hypothalamic control","Endocrine/metabolic",28,212662,14,90890,12,79753,16,60246
"253.1","Pituitary hyperfunction","Endocrine/metabolic",46,212443,16,90809,16,79638,7,60259
"253.2","Pituitary hypofunction","Endocrine/metabolic",28,212642,9,90887,8,79742,37,60219
"253.3","Diabetes insipidus","Endocrine/metabolic",63,212632,23,90881,9,79753,58,60195
"253.7","Other disorders of neurohypophysis","Endocrine/metabolic",65,212603,18,90875,18,79742,532,59423
"255","Disorders of adrenal glands","Endocrine/metabolic",66,212569,31,90842,37,79716,85,60128
"255.11","Cushing's syndrome","Endocrine/metabolic",43,212584,23,90856,13,79727,19,60248
"255.12","Hyperaldosteronism","Endocrine/metabolic",91,212455,42,90807,35,79620,19,60245
"255.21","Glucocorticoid deficiency","Endocrine/metabolic",115,212532,40,90840,47,79689,174,59916
"256.4","Polycystic ovaries","Endocrine/metabolic",64,211987,35,90587,27,79414,40,60165
"259","Other endocrine disorders","Endocrine/metabolic",50,212544,22,90832,46,79563,12,60255
"260","Protein-calorie malnutrition","Endocrine/metabolic",225,212260,108,90722,83,79536,1341,58043
"260.1","Cachexia","Endocrine/metabolic",585,211600,251,90427,138,79456,382,59697
"260.6","Anorexia","Endocrine/metabolic",155,212409,73,90759,50,79634,73,60183
"261.2","Vitamin B-complex deficiencies","Endocrine/metabolic",248,211266,96,90289,74,78901,396,59428
"263","Other nutritional deficiency","Endocrine/metabolic",27,212674,9,90892,12,79760,24,60238
"269","Proteinuria","Endocrine/metabolic",516,210209,226,89854,294,77542,63,60125
"270.21","Disorders of urea cycle metabolism","Endocrine/metabolic",142,212508,44,90836,33,79721,15,60262
"270.38","Other specified disorders of plasma protein metabolism","Endocrine/metabolic",867,211381,345,90332,200,79360,201,59934
"272.1","Hyperlipidemia","Endocrine/metabolic",6251,196838,2641,84172,2305,70634,8596,42583
"272.11","Hypercholesterolemia","Endocrine/metabolic",2256,203150,926,86912,1216,71565,3989,51501
"272.12","Hyperglyceridemia","Endocrine/metabolic",378,211436,169,90344,118,78720,115,60031
"272.13","Mixed hyperlipidemia","Endocrine/metabolic",3585,196483,1550,83971,1478,68620,22,60240
"274.1","Gout","Endocrine/metabolic",988,207301,424,88601,418,75389,1178,57559
"274.11","Gouty arthropathy","Endocrine/metabolic",1106,207465,490,88700,311,76476,184,59746
"275.1","Disorders of iron metabolism","Hematopoietic",12,212682,9,90891,7,79766,60,60145
"275.3","Disorders of magnesium metabolism","Endocrine/metabolic",120,212506,42,90840,33,79717,472,59272
"275.51","Hypocalcemia","Endocrine/metabolic",475,211820,192,90581,213,79236,364,59571
"275.53","Disorders of phosphorus metabolism","Endocrine/metabolic",93,212562,32,90854,29,79737,862,58696
"275.6","Hypercalcemia","Endocrine/metabolic",108,212523,54,90823,26,79716,321,59625
"276.1","Electrolyte imbalance","Endocrine/metabolic",303,212031,137,90625,111,79360,125,60041
"276.11","Hyperosmolality and/or hypernatremia","Endocrine/metabolic",435,212112,174,90653,144,79513,1374,58268
"276.12","Hyposmolality and/or hyponatremia","Endocrine/metabolic",2072,208688,913,89176,750,77989,2988,54752
"276.13","Hyperpotassemia","Endocrine/metabolic",1130,210484,495,90003,363,78836,1641,56960
"276.14","Hypopotassemia","Endocrine/metabolic",2899,207254,1258,88620,873,77635,1733,56887
"276.41","Acidosis","Endocrine/metabolic",1720,210132,727,89835,474,78944,2915,55505
"276.42","Alkalosis","Endocrine/metabolic",59,212631,10,90888,10,79764,584,59270
"276.5","Hypovolemia","Endocrine/metabolic",655,211235,276,90323,291,79168,3306,53014
"276.6","Fluid overload","Endocrine/metabolic",233,212252,101,90724,91,79590,913,58758
"277","Other disorders of metabolism","Endocrine/metabolic",104,212516,59,90821,44,79664,67,60161
"277.4","Disorders of bilirubin excretion","Endocrine/metabolic",210,212410,72,90793,80,79652,89,60138
"277.5","Other disorders of lipoid metabolism","Endocrine/metabolic",44,212625,22,90865,17,79703,14,60227
"277.51","Lipoprotein disorders","Endocrine/metabolic",49,212614,10,90876,9,79734,13,60249
"277.6","Other deficiencies of circulating enzymes","Endocrine/metabolic",36,212646,22,90876,17,79746,6,60272
"277.7","Dysmetabolic syndrome X","Endocrine/metabolic",136,212482,52,90821,63,79658,31,60199
"278","Overweight, obesity and other hyperalimentation","Endocrine/metabolic",43,212592,21,90864,22,79693,336,59643
"278.1","Obesity","Endocrine/metabolic",437,210810,206,90087,226,78125,2398,55221
"278.11","Morbid obesity","Endocrine/metabolic",182,212173,69,90694,52,79544,1329,57284
"278.4","Abnormal weight gain","Endocrine/metabolic",26,212450,6,90815,23,79549,29,60218
"279.1","Immunity deficiency","Endocrine/metabolic",81,212314,42,90738,43,79558,5,60264
"279.11","Deficiency of humoral immunity","Endocrine/metabolic",31,212365,18,90767,17,79567,89,60056
"279.2","Autoimmune disease NEC","Endocrine/metabolic",267,210997,101,90227,104,78803,16,60241
"279.7","Other immunological findings","Endocrine/metabolic",96,212555,38,90838,33,79724,32,60193
"279.8","Other specified disorders involving the immune mechanism","Endocrine/metabolic",530,209940,205,89808,219,78229,5,60272
"280.1","Iron deficiency anemias, unspecified or not due to blood loss","Hematopoietic",691,210534,326,90002,279,78531,1044,57631
"280.2","Iron deficiency anemia secondary to blood loss (chronic)","Hematopoietic",2031,208555,852,89114,585,78088,450,59280
"281.11","Pernicious anemia","Hematopoietic",65,212534,30,90823,24,79696,30,60186
"281.12","Other vitamin B12 deficiency anemia","Hematopoietic",93,212395,27,90774,27,79656,67,60096
"281.13","Folate-deficiency anemia","Hematopoietic",62,212551,36,90828,30,79686,18,60247
"281.9","Deficiency anemias","Hematopoietic",61,212546,33,90834,32,79669,352,59635
"282.8","Other hemoglobinopathies","Hematopoietic",253,211970,109,90586,103,79372,99,60082
"282.9","Other hereditary hemolytic anemias","Hematopoietic",56,212603,27,90863,21,79713,34,60205
"283.1","Autoimmune hemolytic anemias","Hematopoietic",22,212670,5,90896,9,79752,32,60215
"284","Aplastic anemia","Hematopoietic",58,212564,29,90830,19,79685,23,60194
"284.1","Pancytopenia","Hematopoietic",239,212292,105,90697,80,79586,731,58706
"285","Other anemias","Hematopoietic",3348,204427,1453,87416,1185,75522,4598,50454
"285.1","Acute posthemorrhagic anemia","Hematopoietic",1429,210795,593,90077,329,79259,2302,55926
"285.2","Anemia of chronic disease","Hematopoietic",231,211905,87,90581,92,79223,693,58695
"285.21","Anemia in chronic kidney disease","Hematopoietic",310,211153,139,90241,146,78846,581,58647
"285.22","Anemia in neoplastic disease","Hematopoietic",161,212115,67,90634,53,79489,467,59303
"286.4","Acquired coagulation factor deficiency","Hematopoietic",115,212553,58,90816,22,79730,488,59566
"286.6","Defibrination syndrome","Hematopoietic",182,212498,82,90811,41,79736,168,60071
"286.7","Other and unspecified coagulation defects","Hematopoietic",373,212078,178,90615,96,79564,661,59269
"286.81","Primary hypercoagulable state","Hematopoietic",77,212595,31,90849,25,79735,160,59945
"286.9","Abnormal coagulation profile","Hematopoietic",77,212562,42,90832,26,79719,1159,57980
"287","Purpura and other hemorrhagic conditions","Hematopoietic",33,212604,6,90870,8,79699,9,60254
"287.1","Spontaneous ecchymoses","Hematopoietic",41,212567,14,90847,21,79643,34,60211
"287.2","Allergic purpura","Hematopoietic",76,212321,33,90736,28,79481,6,60265
"287.3","Thrombocytopenia","Hematopoietic",1055,210318,453,89887,305,78631,2178,56375
"287.31","Primary thrombocytopenia","Hematopoietic",57,212572,31,90845,27,79684,76,60092
"287.32","Secondary thrombocytopenia","Hematopoietic",310,212139,113,90685,102,79549,683,59105
"288","Diseases of white blood cells","Hematopoietic",80,212435,36,90789,36,79541,31,60225
"288.1","Decreased white blood cell count","Hematopoietic",83,212483,47,90809,44,79615,300,59508
"288.11","Neutropenia","Hematopoietic",366,211663,159,90420,127,79240,569,59046
"288.2","Elevated white blood cell count","Hematopoietic",188,212445,70,90791,56,79674,2280,56470
"288.3","Eosinophilia","Hematopoietic",49,212612,22,90860,23,79728,223,59782
"289","Other diseases of blood and blood-forming organs","Hematopoietic",70,212408,35,90784,17,79592,83,60122
"289.4","Lymphadenitis","Hematopoietic",724,209985,311,89770,279,78431,402,59494
"289.5","Diseases of spleen","Hematopoietic",133,212490,47,90807,38,79706,136,59994
"289.8","Polycythemia vera, secondary","Hematopoietic",16,212671,5,90893,6,79761,33,60218
"289.9","Abnormality of red blood cells","Hematopoietic",7,212682,6,90891,14,79742,155,59884
"290","Delirium dementia and amnestic and other cognitive disorders","Mental disorders",77,212155,27,90705,50,79264,22,60247
"290.1","Dementias","Mental disorders",1271,209232,556,89375,466,77826,1966,57406
"290.11","Alzheimer's disease","Mental disorders",392,210401,192,89901,175,78221,462,59537
"290.12","Dementia with cerebral degenerations","Mental disorders",305,211215,153,90243,129,78810,142,60024
"290.13","Senile dementia","Mental disorders",439,210583,156,90085,174,78249,192,59955
"290.16","Vascular dementia","Mental disorders",640,209733,295,89623,296,77798,190,59931
"290.2","Delirium due to conditions classified elsewhere","Mental disorders",352,211955,140,90603,115,79478,1287,58058
"290.3","Other persistent mental disorders due to conditions classified elsewhere","Mental disorders",61,212455,27,90806,10,79642,133,59692
"291.4","Specific nonpsychotic mental disorders due to brain damage","Mental disorders",734,210464,311,89958,177,78955,90,60118
"291.8","Alteration of consciousness","Mental disorders",634,211481,273,90393,142,79370,856,58805
"292","Neurological disorders","Mental disorders",28,212675,9,90897,7,79766,248,59980
"292.1","Aphasia/speech disturbance","Mental disorders",245,212265,99,90705,61,79635,867,58991
"292.11","Aphasia","Mental disorders",190,212359,75,90769,43,79651,773,59258
"292.2","Mild cognitive impairment","Mental disorders",163,212103,87,90616,77,79460,174,59978
"292.3","Memory loss","Mental disorders",37,212628,15,90873,12,79735,202,59902
"292.4","Altered mental status","Mental disorders",1040,211219,424,90290,168,79445,2577,56433
"293.1","Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]","Mental disorders",411,210487,177,89964,123,78681,218,59796
"295.1","Schizophrenia","Mental disorders",366,211624,176,90385,70,79255,417,59380
"295.2","Paranoid disorders","Mental disorders",59,212547,25,90831,13,79707,124,60017
"295.3","Psychosis","Mental disorders",125,212329,49,90754,26,79624,411,59454
"296","Mood disorders","Mental disorders",152,212203,56,90689,49,79559,283,59587
"296.1","Bipolar","Mental disorders",310,211262,135,90305,93,78907,789,58576
"296.2","Depression","Mental disorders",340,211248,174,90302,124,78902,3406,52030
"296.22","Major depressive disorder","Mental disorders",1155,208278,470,89063,367,77285,1990,57182
"297.2","Suicide or self-inflicted injury","Mental disorders",271,212309,139,90713,43,79693,290,59774
"300","Anxiety, phobic and dissociative disorders","Mental disorders",175,211358,83,90320,87,78651,33,60187
"300.1","Anxiety disorder","Mental disorders",1541,204342,673,87269,872,73815,4306,52363
"300.11","Generalized anxiety disorder","Mental disorders",306,211523,142,90359,226,78830,89,60096
"300.12","Agorophobia, social phobia, and panic disorder","Mental disorders",257,211768,110,90533,111,79259,233,59769
"300.13","Phobia","Mental disorders",15,212660,12,90871,11,79732,47,60198
"300.3","Obsessive-compulsive disorders","Mental disorders",21,212580,11,90851,8,79694,78,60129
"300.4","Dysthymic disorder","Mental disorders",333,209980,159,89732,180,77531,151,59074
"300.8","Acute reaction to stress","Mental disorders",23,212630,11,90867,12,79741,40,60188
"301","Personality disorders","Mental disorders",54,212494,34,90814,13,79652,63,60094
"301.2","Antisocial/borderline personality disorder","Mental disorders",37,212552,18,90855,11,79722,100,59998
"303.3","Psychogenic disorder","Mental disorders",31,212543,12,90839,23,79632,28,60212
"303.4","Somatoform disorder","Mental disorders",145,212397,61,90774,44,79655,45,60157
"304","Adjustment reaction","Mental disorders",444,210834,222,90094,165,78655,215,59780
"306.9","Tension headache","Mental disorders",151,211394,81,90330,94,78754,62,60125
"313.1","Attention deficit hyperactivity disorder","Mental disorders",17,212414,8,90810,6,79697,322,59685
"313.2","Tics and stuttering","Mental disorders",26,212588,11,90850,6,79725,19,60252
"315","Develomental delays and disorders","Mental disorders",62,212552,16,90855,15,79727,461,59532
"315.3","Mental retardation","Mental disorders",68,212549,30,90825,23,79711,104,60003
"316","Substance addiction and disorders","Mental disorders",206,212206,112,90653,53,79583,1752,56970
"317","Alcohol-related disorders","Mental disorders",433,211633,185,90444,101,79457,1307,57618
